timestamp,symbol,exchange,direction,quantity,price,product,stop_loss,target,risk_reward,regime,composite_signal,agreement,value,pct_of_capital,status,order_id
2026-03-17T10:32:31.362312+05:30,BPCL,NSE,SELL,16,0,MIS,328.19,260.72,1.5,Bear,-0.4285,0.75,4819.2,0.0482,paper,PAPER-20260317103231
2026-03-17T10:32:36.720358+05:30,TRENT,NSE,SELL,1,0,MIS,3778.59,3234.87,1.5,Bear,-0.432,0.62,3561.1,0.0356,paper,PAPER-20260317103236
2026-03-17T10:32:40.360808+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1866.67,1615.49,1.5,Bear,-0.413,0.62,3532.4,0.0353,paper,PAPER-20260317103240
2026-03-17T10:37:50.449532+05:30,TCS,NSE,SELL,2,0,MIS,2488.3,2202.3,1.5,Bear,-0.5937,0.75,4747.8,0.0475,paper,PAPER-20260317103750
2026-03-17T10:37:52.122544+05:30,INFY,NSE,SELL,4,0,MIS,1294.03,1135.46,1.5,Bear,-0.4776,0.62,4922.4,0.0492,paper,PAPER-20260317103752
2026-03-17T10:37:56.967572+05:30,HCLTECH,NSE,SELL,3,0,MIS,1384.13,1213.81,1.5,Bear,-0.4647,0.62,3948.0,0.0395,paper,PAPER-20260317103756
2026-03-17T10:37:59.581090+05:30,KOTAKBANK,NSE,SELL,13,0,MIS,390.04,343.95,1.5,Bear,-0.4026,0.62,4830.8,0.0483,paper,PAPER-20260317103759
2026-03-17T10:38:02.931352+05:30,WIPRO,NSE,SELL,26,0,MIS,200.3,174.9,1.5,Bear,-0.499,0.62,4943.64,0.0494,paper,PAPER-20260317103802
2026-03-17T10:38:11.329054+05:30,TECHM,NSE,SELL,3,0,MIS,1403.2,1220.2,1.5,Bear,-0.526,0.62,3990.0,0.0399,paper,PAPER-20260317103811
2026-03-17T10:38:13.716300+05:30,CIPLA,NSE,SELL,3,0,MIS,1340.49,1214.27,1.5,Bear,-0.4399,0.75,3870.0,0.0387,paper,PAPER-20260317103813
2026-03-17T10:38:16.284668+05:30,BPCL,NSE,SELL,16,0,MIS,328.04,260.57,1.5,Bear,-0.4614,0.75,4816.8,0.0482,paper,PAPER-20260317103816
2026-03-17T10:38:21.262303+05:30,TRENT,NSE,SELL,1,0,MIS,3772.11,3227.33,1.5,Bear,-0.4343,0.62,3554.2,0.0355,paper,PAPER-20260317103821
2026-03-17T10:38:23.922446+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1860.67,1609.49,1.5,Bear,-0.4186,0.62,3520.4,0.0352,paper,PAPER-20260317103823
2026-03-17T10:43:32.148102+05:30,TCS,NSE,SELL,2,0,MIS,2493.9,2207.9,1.5,Bear,-0.5916,0.75,4759.0,0.0476,paper,PAPER-20260317104332
2026-03-17T10:43:33.704012+05:30,INFY,NSE,SELL,4,0,MIS,1298.43,1139.86,1.5,Bear,-0.4743,0.62,4940.0,0.0494,paper,PAPER-20260317104333
2026-03-17T10:43:37.830865+05:30,HCLTECH,NSE,SELL,3,0,MIS,1388.43,1218.11,1.5,Bear,-0.4618,0.62,3960.9,0.0396,paper,PAPER-20260317104337
2026-03-17T10:43:45.655561+05:30,WIPRO,NSE,SELL,26,0,MIS,200.16,174.76,1.5,Bear,-0.4992,0.62,4940.0,0.0494,paper,PAPER-20260317104345
2026-03-17T10:43:54.702543+05:30,TECHM,NSE,SELL,3,0,MIS,1405.7,1222.7,1.5,Bear,-0.427,0.62,3997.5,0.04,paper,PAPER-20260317104354
2026-03-17T10:43:56.735288+05:30,CIPLA,NSE,SELL,3,0,MIS,1342.39,1216.17,1.5,Bear,-0.4034,0.75,3875.7,0.0388,paper,PAPER-20260317104356
2026-03-17T10:43:58.783899+05:30,BPCL,NSE,SELL,16,0,MIS,328.34,260.87,1.5,Bear,-0.4279,0.75,4821.6,0.0482,paper,PAPER-20260317104358
2026-03-17T10:44:04.203489+05:30,TRENT,NSE,SELL,1,0,MIS,3777.51,3232.73,1.5,Bear,-0.4325,0.62,3559.6,0.0356,paper,PAPER-20260317104404
2026-03-17T10:44:07.519357+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1862.17,1610.99,1.5,Bear,-0.4172,0.62,3523.4,0.0352,paper,PAPER-20260317104407
2026-03-17T10:49:16.940950+05:30,TCS,NSE,SELL,2,0,MIS,2498.4,2212.4,1.5,Bear,-0.5897,0.75,4768.0,0.0477,paper,PAPER-20260317104916
2026-03-17T10:49:18.342756+05:30,INFY,NSE,SELL,4,0,MIS,1303.13,1144.56,1.5,Bear,-0.4704,0.62,4958.8,0.0496,paper,PAPER-20260317104918
2026-03-17T10:49:22.592473+05:30,HCLTECH,NSE,SELL,3,0,MIS,1391.43,1221.11,1.5,Bear,-0.4012,0.62,3969.9,0.0397,paper,PAPER-20260317104922
2026-03-17T10:49:30.327043+05:30,WIPRO,NSE,SELL,26,0,MIS,200.61,175.21,1.5,Bear,-0.4983,0.62,4951.7,0.0495,paper,PAPER-20260317104930
2026-03-17T10:49:40.303435+05:30,CIPLA,NSE,SELL,3,0,MIS,1340.74,1213.64,1.5,Bear,-0.44,0.75,3869.7,0.0387,paper,PAPER-20260317104940
2026-03-17T10:49:42.405783+05:30,BPCL,NSE,SELL,16,0,MIS,328.04,260.57,1.5,Bear,-0.4614,0.75,4816.8,0.0482,paper,PAPER-20260317104942
2026-03-17T10:49:50.979578+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1864.27,1613.09,1.5,Bear,-0.4152,0.62,3527.6,0.0353,paper,PAPER-20260317104950
2026-03-17T10:54:59.774283+05:30,TCS,NSE,SELL,2,0,MIS,2504.3,2218.3,1.5,Bear,-0.5283,0.62,4779.8,0.0478,paper,PAPER-20260317105459
2026-03-17T10:55:01.176155+05:30,INFY,NSE,SELL,4,0,MIS,1303.03,1144.46,1.5,Bear,-0.4705,0.62,4958.4,0.0496,paper,PAPER-20260317105501
2026-03-17T10:55:06.980068+05:30,HCLTECH,NSE,SELL,3,0,MIS,1391.03,1220.71,1.5,Bear,-0.4015,0.62,3968.7,0.0397,paper,PAPER-20260317105506
2026-03-17T10:55:14.436385+05:30,WIPRO,NSE,SELL,26,0,MIS,200.75,175.35,1.5,Bear,-0.4979,0.62,4955.34,0.0496,paper,PAPER-20260317105514
2026-03-17T10:55:23.892298+05:30,CIPLA,NSE,SELL,3,0,MIS,1342.44,1215.34,1.5,Bear,-0.4038,0.75,3874.8,0.0387,paper,PAPER-20260317105523
